objectid,fips,county_cod,dwr_code,county_nam,staging_sd,acres,perimeter,shape,st_area_sh,st_length_,Area_County,objectid_1,objectid_2,system,id,name,shape_leng,label,shape_le_1,shape_2,st_area_sh_2,st_length__2,area,Area_Intersection,Basin_Fraction
2,81,MOF,41,Moffat,12317400393,3043629.637,467091.544,,2137833,61505,21378335395,8,8,Ym/Wt,800,Yampa/White/Green,778063.4337,Yampa/White/Green,778058.2319,,47013356168,1020664.666,27275598010,21369748340,1
3,115,SED,58,Sedgwick,1421479012,351247.464,157345.57,,2487602,20803,2487602761,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,2487602761,1
4,75,LGN,38,Logan,4779229820,1180947.689,282205.556,,8331256,37251,8331256881,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,8331256881,1
6,123,WEL,62,Weld,10395417514,2568707.668,484302.76,,1804062,63770,18040628297,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,18039853173,1
6,123,WEL,62,Weld,10395417514,2568707.668,484302.76,,1804062,63770,18040628297,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,772396.66,0
7,95,PHI,48,Phillips,1782679258,440500.045,172755.396,,3093667,22748,3093667854,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,3093667854,1
8,87,MOR,44,Morgan,3350988268,828029.201,232444.602,,5764316,30486,5764316750,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,5764316750,1
9,125,YUM,63,Yuma,6120252868,1512314.484,321310.482,,1043880,41980,10438805392,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,10438805392,1
10,121,WAS,61,Washington,6551120226,1618781.808,352094.661,,1117038,45992,11170389955,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,11170389955,1
11,1,ADA,1,Adams,3062084779,756641.149,391100.483,,5208791,50953,5208791518,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,3961967000,0.76
