County,Basin,Basin1,Basin1Fraction,Basin2,Basin2Fraction
Adams,Metro,Metro,1.00,,
Alamosa,Rio Grande,Rio Grande,1.00,,
Arapahoe,Metro,Metro,1.00,,
Archuleta,Southwest,Southwest,1.00,,
Baca,Arkansas,Arkansas,1.00,,
Bent,Arkansas,Arkansas,1.00,,
Boulder,South Platte,South Platte,1.00,,
Broomfield,Metro,Metro,1.00,,
Chaffee,Arkansas,Arkansas,1.00,,
Cheyenne,"South Platte, Arkansas",South Platte,0.62,Arkansas,0.38
Clear Creek,South Platte,South Platte,1.00,,
Conejos,Rio Grande,Rio Grande,1.00,,
Costilla,Rio Grande,Rio Grande,1.00,,
Crowley,Arkansas,Arkansas,1.00,,
Custer,Arkansas,Arkansas,1.00,,
Delta,Gunnison,Gunnison,1.00,,
Denver,Metro,Metro,1.00,,
Dolores,Southwest,Southwest,1.00,,
Douglas,Metro,Metro,1.00,,
Eagle,Colorado,Colorado,1.00,,
El Paso,Arkansas,Arkansas,1.00,,
Elbert,"Metro, Arkansas",Metro,0.69,Arkansas,0.31
Fremont,Arkansas,Arkansas,1.00,,
Garfield,Colorado,Colorado,1.00,,
Gilpin,South Platte,South Platte,1.00,,
Grand,Colorado,Colorado,1.00,,
Gunnison,Gunnison,Gunnison,1.00,,
Hinsdale,Gunnison,Gunnison,1.00,,
Huerfano,Arkansas,Arkansas,1.00,,
Jackson,North Platte,North Platte,1.00,,
Jefferson,Metro,Metro,1.00,,
Kiowa,Arkansas,Arkansas,1.00,,
Kit Carson,South Platte,South Platte,1.00,,
La Plata,Southwest,Southwest,1.00,,
Lake,Arkansas,Arkansas,1.00,,
Larimer,South Platte,South Platte,1.00,,
Las Animas,Arkansas,Arkansas,1.00,,
Lincoln,"Arkansas, South Platte",Arkansas,0.81,South Platte,0.19
Logan,South Platte,South Platte,1.00,,
Mesa,"Colorado, Gunnison",Colorado,0.90,Gunnison,0.10
Mineral,Rio Grande,Rio Grande,1.00,,
Moffat,Yampa,Yampa,1.00,,
Montezuma,Southwest,Southwest,1.00,,
Montrose,"Gunnison, Southwest",Gunnison,0.90,Southwest,0.10
Morgan,South Platte,South Platte,1.00,,
Otero,Arkansas,Arkansas,1.00,,
Ouray,Gunnison,Gunnison,1.00,,
Park,South Platte,South Platte,1.00,,
Phillips,South Platte,South Platte,1.00,,
Pitkin,Colorado,Colorado,1.00,,
Prowers,Arkansas,Arkansas,1.00,,
Pueblo,Arkansas,Arkansas,1.00,,
Rio Blanco,Yampa,Yampa,1.00,,
Rio Grande,Rio Grande,Rio Grande,1.00,,
Routt,Yampa,Yampa,1.00,,
Saguache,Rio Grande,Rio Grande,1.00,,
San Juan,Southwest,Southwest,1.00,,
San Miguel,Southwest,Southwest,1.00,,
Sedgwick,South Platte,South Platte,1.00,,
Summit,Colorado,Colorado,1.00,,
Teller,"Arkansas, South Platte",Arkansas,0.51,South Platte,0.49
Washington,South Platte,South Platte,1.00,,
Weld,South Platte,South Platte,1.00,,
Yuma,South Platte,South Platte,1.00,,
