"CountyName","State_Abbrev","FIPS_ID","FIPS_ID_Flag","FIPS_wState_ID","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","IBCC_Basin_CSV","Num_IBCC_Basin","Comment"
Adams,CO,001,G,08001,198116,G,01001,G,"Metro, South Platte",2,
Alamosa,CO,003,G,08003,198117,G,02001,G,Rio Grande,1,
Arapahoe,CO,005,G,08005,198118,G,03001,G,"Metro, South Platte",2,
Archuleta,CO,007,G,08007,198119,G,04001,G,"Rio Grande, Southwest",2,
Baca,CO,009,G,08009,198120,G,05001,G,Arkansas,1,
Bent,CO,011,G,08011,198121,G,06001,G,Arkansas,1,
Boulder,CO,013,G,08013,198122,G,07003,G,South Platte,1,
Broomfield,CO,014,G,08014,1945881,G,64030,G,"Metro, South Platte",2,
Chaffee,CO,015,G,08015,198123,G,08003,G,Arkansas,1,
Cheyenne,CO,017,G,08017,198124,G,09002,G,"Arkansas, South Platte",2,
Clear Creek,CO,019,G,08019,198125,G,10003,G,South Platte,1,
Conejos,CO,021,G,08021,198126,G,11004,G,"Rio Grande, Southwest",2,
Costilla,CO,023,G,08023,198127,G,12003,G,"Arkansas, Rio Grande",2,
Crowley,CO,025,G,08025,198128,G,13001,G,Arkansas,1,
Custer,CO,027,G,08027,198129,G,14001,G,Arkansas,1,
Delta,CO,029,G,08029,198130,G,15006,G,Gunnison,1,
Denver,CO,031,G,08031,198131,G,16002,G,"Metro, South Platte",2,
Dolores,CO,033,G,08033,198132,G,17002,G,Southwest,1,
Douglas,CO,035,G,08035,198133,G,18008,G,Metro,1,
Eagle,CO,037,G,08037,198134,G,19011,G,Colorado,1,
El Paso,CO,041,G,08041,198135,G,21019,G,"Metro, South Platte",2,
Elbert,CO,039,G,08039,198136,G,20001,G,"Arkansas, Metro, South Platte",3,
Fremont,CO,043,G,08043,198137,G,22013,G,Arkansas,1,
Garfield,CO,045,G,08045,198138,G,23005,G,"Colorado, Yampa",2,
Gilpin,CO,047,G,08047,198139,G,24005,G,South Platte,1,
Grand,CO,049,G,08049,198140,G,25009,G,"Colorado, Yampa",2,
Gunnison,CO,051,G,08051,198141,G,26006,G,"Colorado, Gunnison",2,
Hinsdale,CO,053,G,08053,198142,G,27001,G,"Gunnison, Rio Grande, Southwest",3,
Huerfano,CO,055,G,08055,198143,G,28002,G,Arkansas,1,
Jackson,CO,057,G,08057,198144,G,29001,G,North Platte,1,
Jefferson,CO,059,G,08059,198145,G,30047,G,"Metro, South Platte",2,
Kiowa,CO,061,G,08061,198146,G,31004,G,Arkansas,1,
Kit Carson,CO,063,G,08063,198147,G,32011,G,South Platte,1,
La Plata,CO,067,G,08067,198148,G,34017,G,Southwest,1,
Lake,CO,065,G,08065,198149,G,33001,G,Arkansas,1,
Larimer,CO,069,G,08069,198150,G,35015,G,"North Platte, South Platte",2,
Las Animas,CO,071,G,08071,198151,G,36006,G,Arkansas,1,
Lincoln,CO,073,G,08073,198152,G,37008,G,"Arkansas, South Platte",2,
Logan,CO,075,G,08075,198153,G,38008,G,South Platte,1,
Mesa,CO,077,G,08077,198154,G,39023,G,"Colorado, Gunnison, Southwest",3,
Mineral,CO,079,G,08079,198155,G,40002,G,"Rio Grande, Southwest",2,
Moffat,CO,081,G,08081,198156,G,41007,G,Yampa,1,
Montezuma,CO,083,G,08083,198157,G,42017,G,Southwest,1,
Montrose,CO,085,G,08085,198158,G,43001,G,"Gunnison, Southwest",2,
Morgan,CO,087,G,08087,198159,G,44010,G,South Platte,1,
Otero,CO,089,G,08089,198160,G,45012,G,Arkansas,1,
Ouray,CO,091,G,08091,198161,G,46005,G,Gunnison,1,
Park,CO,093,G,08093,198162,G,47012,G,"Arkansas, South Platte",2,
Phillips,CO,095,G,08095,198163,G,48007,G,South Platte,1,
Pitkin,CO,097,G,08097,198164,G,49010,G,Colorado,1,
Prowers,CO,099,G,08099,198165,G,50014,G,Arkansas,1,
Pueblo,CO,101,G,08101,198166,G,51010,G,Arkansas,1,
Rio Blanco,CO,103,G,08103,198167,G,52016,G,Yampa,1,
Rio Grande,CO,105,G,08105,198168,G,53006,G,"Rio Grande, Southwest",2,
Routt,CO,107,G,08107,198169,G,54012,G,"Colorado, Yampa",2,
Saguache,CO,109,G,08109,198170,G,55007,G,"Arkansas, Gunnison, Rio Grande",3,
San Juan,CO,111,G,08111,198171,G,56001,G,"Gunnison, Rio Grande, Southwest",3,
San Miguel,CO,113,G,08113,198172,G,57010,G,Southwest,1,
Sedgwick,CO,115,G,08115,198173,G,58009,G,South Platte,1,
Summit,CO,117,G,08117,198174,G,59021,G,Colorado,1,
Teller,CO,119,G,08119,198175,G,60010,G,"Arkansas, Metro",2,
Washington,CO,121,G,08121,198176,G,61008,G,South Platte,1,
Weld,CO,123,G,08123,198177,G,62056,G,South Platte,1,
Yuma,CO,125,G,08125,198178,G,63012,G,South Platte,1,
