"Year","County","Population"
2000,Adams,351734.0
2000,Alamosa,15097.0
2000,Arapahoe,490722.0
2000,Archuleta,10042.0
2000,Baca,4500.0
2000,Bent,5966.0
2000,Boulder,276254.0
2000,Broomfield,38545.0
2000,Chaffee,16312.0
2000,Cheyenne,2214.0
2000,Clear Creek,9360.0
2000,Conejos,8407.0
2000,Costilla,3673.0
2000,Crowley,5128.0
2000,Custer,3518.0
2000,Delta,27910.0
2000,Denver,556740.0
2000,Dolores,1847.0
2000,Douglas,180511.0
2000,Eagle,43288.0
2000,El Paso,519803.0
2000,Elbert,20102.0
2000,Fremont,46369.0
2000,Garfield,44239.0
2000,Gilpin,4807.0
2000,Grand,12852.0
2000,Gunnison,13988.0
2000,Hinsdale,792.0
2000,Huerfano,7826.0
2000,Jackson,1574.0
2000,Jefferson,526716.0
2000,Kiowa,1612.0
2000,Kit Carson,7975.0
2000,La Plata,44578.0
2000,Lake,7939.0
2000,Larimer,253087.0
2000,Las Animas,15286.0
2000,Lincoln,6164.0
2000,Logan,20656.0
2000,Mesa,117649.0
2000,Mineral,836.0
2000,Moffat,13182.0
2000,Montezuma,23852.0
2000,Montrose,33579.0
2000,Morgan,27250.0
2000,Otero,20244.0
2000,Ouray,3776.0
2000,Park,14728.0
2000,Phillips,4451.0
2000,Pitkin,15763.0
2000,Prowers,14452.0
2000,Pueblo,141854.0
2000,Rio Blanco,5967.0
2000,Rio Grande,12429.0
2000,Routt,20122.0
2000,Saguache,5982.0
2000,San Juan,574.0
2000,San Miguel,6614.0
2000,Sedgwick,2742.0
2000,Summit,25708.0
2000,Teller,21067.0
2000,Washington,4942.0
2000,Weld,183074.0
2000,Yuma,9815.0
2001,Adams,359437.0
2001,Alamosa,15231.0
2001,Arapahoe,501671.0
2001,Archuleta,10465.0
2001,Baca,4447.0
2001,Bent,5882.0
2001,Boulder,283510.0
2001,Broomfield,41387.0
2001,Chaffee,16410.0
2001,Cheyenne,2173.0
2001,Clear Creek,9464.0
2001,Conejos,8365.0
2001,Costilla,3741.0
2001,Crowley,5253.0
2001,Custer,3730.0
2001,Delta,28387.0
2001,Denver,563300.0
2001,Dolores,1865.0
2001,Douglas,199038.0
2001,Eagle,44440.0
2001,El Paso,536336.0
2001,Elbert,21294.0
2001,Fremont,46733.0
2001,Garfield,45907.0
2001,Gilpin,4829.0
2001,Grand,13283.0
2001,Gunnison,14345.0
2001,Hinsdale,804.0
2001,Huerfano,7905.0
2001,Jackson,1590.0
2001,Jefferson,528067.0
2001,Kiowa,1606.0
2001,Kit Carson,8073.0
2001,La Plata,45645.0
2001,Lake,7821.0
2001,Larimer,260911.0
2001,Las Animas,15310.0
2001,Lincoln,6076.0
2001,Logan,22354.0
2001,Mesa,119864.0
2001,Mineral,820.0
2001,Moffat,13089.0
2001,Montezuma,23873.0
2001,Montrose,34442.0
2001,Morgan,27475.0
2001,Otero,19900.0
2001,Ouray,3809.0
2001,Park,15172.0
2001,Phillips,4487.0
2001,Pitkin,16184.0
2001,Prowers,14109.0
2001,Pueblo,143996.0
2001,Rio Blanco,5880.0
2001,Rio Grande,12406.0
2001,Routt,20436.0
2001,Saguache,6083.0
2001,San Juan,566.0
2001,San Miguel,6900.0
2001,Sedgwick,2694.0
2001,Summit,26293.0
2001,Teller,21738.0
2001,Washington,4899.0
2001,Weld,192482.0
2001,Yuma,9831.0
2002,Adams,371181.0
2002,Alamosa,15266.0
2002,Arapahoe,510503.0
2002,Archuleta,10700.0
2002,Baca,4315.0
2002,Bent,6203.0
2002,Boulder,284433.0
2002,Broomfield,42432.0
2002,Chaffee,16646.0
2002,Cheyenne,2162.0
2002,Clear Creek,9466.0
2002,Conejos,8389.0
2002,Costilla,3734.0
2002,Crowley,5344.0
2002,Custer,3783.0
2002,Delta,28778.0
2002,Denver,559090.0
2002,Dolores,1880.0
2002,Douglas,209705.0
2002,Eagle,45100.0
2002,El Paso,545240.0
2002,Elbert,21604.0
2002,Fremont,46969.0
2002,Garfield,46728.0
2002,Gilpin,4830.0
2002,Grand,13461.0
2002,Gunnison,14316.0
2002,Hinsdale,806.0
2002,Huerfano,7916.0
2002,Jackson,1591.0
2002,Jefferson,527539.0
2002,Kiowa,1566.0
2002,Kit Carson,8289.0
2002,La Plata,46089.0
2002,Lake,7726.0
2002,Larimer,266171.0
2002,Las Animas,15659.0
2002,Lincoln,6047.0
2002,Logan,22095.0
2002,Mesa,121787.0
2002,Mineral,805.0
2002,Moffat,13134.0
2002,Montezuma,24109.0
2002,Montrose,34926.0
2002,Morgan,27662.0
2002,Otero,19624.0
2002,Ouray,3903.0
2002,Park,15417.0
2002,Phillips,4496.0
2002,Pitkin,16101.0
2002,Prowers,14011.0
2002,Pueblo,146481.0
2002,Rio Blanco,5936.0
2002,Rio Grande,12409.0
2002,Routt,20892.0
2002,Saguache,6245.0
2002,San Juan,599.0
2002,San Miguel,7042.0
2002,Sedgwick,2694.0
2002,Summit,26514.0
2002,Teller,21989.0
2002,Washington,5259.0
2002,Weld,198975.0
2002,Yuma,9947.0
2003,Adams,377665.0
2003,Alamosa,15360.0
2003,Arapahoe,516354.0
2003,Archuleta,10964.0
2003,Baca,4258.0
2003,Bent,6653.0
2003,Boulder,282763.0
2003,Broomfield,44960.0
2003,Chaffee,16794.0
2003,Cheyenne,2119.0
2003,Clear Creek,9517.0
2003,Conejos,8387.0
2003,Costilla,3800.0
2003,Crowley,5156.0
2003,Custer,3934.0
2003,Delta,29061.0
2003,Denver,560348.0
2003,Dolores,1879.0
2003,Douglas,221146.0
2003,Eagle,45758.0
2003,El Paso,551668.0
2003,Elbert,21933.0
2003,Fremont,46828.0
2003,Garfield,47484.0
2003,Gilpin,4851.0
2003,Grand,13688.0
2003,Gunnison,14206.0
