"Year","County","PercentChangeSince2017"
2017,Adams,0.0000
2017,Alamosa,0.0000
2017,Arapahoe,0.0000
2017,Archuleta,0.0000
2017,Baca,0.0000
2017,Bent,0.0000
2017,Boulder,0.0000
2017,Broomfield,0.0000
2017,Chaffee,0.0000
2017,Cheyenne,0.0000
2017,Clear Creek,0.0000
2017,Conejos,0.0000
2017,Costilla,0.0000
2017,Crowley,0.0000
2017,Custer,0.0000
2017,Delta,0.0000
2017,Denver,0.0000
2017,Dolores,0.0000
2017,Douglas,0.0000
2017,Eagle,0.0000
2017,El Paso,0.0000
2017,Elbert,0.0000
2017,Fremont,0.0000
2017,Garfield,0.0000
2017,Gilpin,0.0000
2017,Grand,0.0000
2017,Gunnison,0.0000
2017,Hinsdale,0.0000
2017,Huerfano,0.0000
2017,Jackson,0.0000
2017,Jefferson,0.0000
2017,Kiowa,0.0000
2017,Kit Carson,0.0000
2017,La Plata,0.0000
2017,Lake,0.0000
2017,Larimer,0.0000
2017,Las Animas,0.0000
2017,Lincoln,0.0000
2017,Logan,0.0000
2017,Mesa,0.0000
2017,Mineral,0.0000
2017,Moffat,0.0000
2017,Montezuma,0.0000
2017,Montrose,0.0000
2017,Morgan,0.0000
2017,Otero,0.0000
2017,Ouray,0.0000
2017,Park,0.0000
2017,Phillips,0.0000
2017,Pitkin,0.0000
2017,Prowers,0.0000
2017,Pueblo,0.0000
2017,Rio Blanco,0.0000
2017,Rio Grande,0.0000
2017,Routt,0.0000
2017,Saguache,0.0000
2017,San Juan,0.0000
2017,San Miguel,0.0000
2017,Sedgwick,0.0000
2017,Summit,0.0000
2017,Teller,0.0000
2017,Washington,0.0000
2017,Weld,0.0000
2017,Yuma,0.0000
2018,Adams,2.1444
2018,Alamosa,1.2050
2018,Arapahoe,1.4673
2018,Archuleta,2.0532
2018,Baca,-0.3907
2018,Bent,0.9270
2018,Boulder,1.1068
2018,Broomfield,3.4050
2018,Chaffee,1.5078
2018,Cheyenne,-0.0927
2018,Clear Creek,0.6540
2018,Conejos,0.0865
2018,Costilla,0.3737
2018,Crowley,0.9184
2018,Custer,0.9968
2018,Delta,0.4380
2018,Denver,1.4311
2018,Dolores,0.4148
2018,Douglas,1.7549
2018,Eagle,1.6628
2018,El Paso,1.6022
2018,Elbert,4.8731
2018,Fremont,0.1662
2018,Garfield,2.1384
2018,Gilpin,0.5436
2018,Grand,2.1201
2018,Gunnison,1.2466
2018,Hinsdale,2.0306
2018,Huerfano,-0.1197
2018,Jackson,-0.3390
2018,Jefferson,1.1979
2018,Kiowa,0.1288
2018,Kit Carson,0.0166
2018,La Plata,2.3850
2018,Lake,0.3648
2018,Larimer,1.7654
2018,Las Animas,-0.0522
2018,Lincoln,1.0946
2018,Logan,1.1674
2018,Mesa,1.0826
2018,Mineral,0.8980
2018,Moffat,0.2088
2018,Montezuma,1.9685
2018,Montrose,1.5570
2018,Morgan,0.9950
2018,Otero,0.1274
2018,Ouray,1.4125
2018,Park,1.8112
2018,Phillips,0.0594
2018,Pitkin,1.2563
2018,Prowers,0.2818
2018,Pueblo,1.1173
2018,Rio Blanco,0.2097
2018,Rio Grande,0.0656
2018,Routt,1.7931
2018,Saguache,0.7878
2018,San Juan,0.7579
2018,San Miguel,3.1894
2018,Sedgwick,-0.3926
2018,Summit,1.9286
2018,Teller,1.9956
2018,Washington,0.3149
2018,Weld,3.4378
2018,Yuma,0.5743
2019,Adams,4.3126
2019,Alamosa,2.4380
2019,Arapahoe,3.0212
2019,Archuleta,4.0836
2019,Baca,-0.8409
2019,Bent,1.8530
2019,Boulder,2.2145
2019,Broomfield,6.8465
2019,Chaffee,3.0133
2019,Cheyenne,-0.1699
2019,Clear Creek,1.2826
2019,Conejos,0.1725
2019,Costilla,1.0052
2019,Crowley,1.9808
2019,Custer,1.4596
2019,Delta,1.0124
2019,Denver,2.8704
2019,Dolores,0.3449
2019,Douglas,3.4607
2019,Eagle,3.3197
2019,El Paso,3.2208
2019,Elbert,9.7898
2019,Fremont,0.3297
2019,Garfield,4.2649
2019,Gilpin,1.0212
2019,Grand,4.1999
