"Year","County","PercentChangeSince2017","Basin"
2017,Adams,0.0000,Metro
2017,Arapahoe,0.0000,Metro
2017,Boulder,0.0000,South Platte
2017,Broomfield,0.0000,Metro
2017,Cheyenne,0.0000,"South Platte, Arkansas"
2017,Clear Creek,0.0000,South Platte
2017,Denver,0.0000,Metro
2017,Douglas,0.0000,Metro
2017,Elbert,0.0000,"Metro, Arkansas"
2017,Gilpin,0.0000,South Platte
2017,Jefferson,0.0000,Metro
2017,Kit Carson,0.0000,South Platte
2017,Larimer,0.0000,South Platte
2017,Lincoln,0.0000,"Arkansas, South Platte"
2017,Logan,0.0000,South Platte
2017,Morgan,0.0000,South Platte
2017,Park,0.0000,South Platte
2017,Phillips,0.0000,South Platte
2017,Sedgwick,0.0000,South Platte
2017,Teller,0.0000,"Arkansas, South Platte"
2017,Washington,0.0000,South Platte
2017,Weld,0.0000,South Platte
2017,Yuma,0.0000,South Platte
2018,Adams,2.1444,Metro
2018,Arapahoe,1.4673,Metro
2018,Boulder,1.1068,South Platte
2018,Broomfield,3.4050,Metro
2018,Cheyenne,-0.0927,"South Platte, Arkansas"
2018,Clear Creek,0.6540,South Platte
2018,Denver,1.4311,Metro
2018,Douglas,1.7549,Metro
2018,Elbert,4.8731,"Metro, Arkansas"
2018,Gilpin,0.5436,South Platte
2018,Jefferson,1.1979,Metro
2018,Kit Carson,0.0166,South Platte
2018,Larimer,1.7654,South Platte
2018,Lincoln,1.0946,"Arkansas, South Platte"
2018,Logan,1.1674,South Platte
2018,Morgan,0.9950,South Platte
2018,Park,1.8112,South Platte
2018,Phillips,0.0594,South Platte
2018,Sedgwick,-0.3926,South Platte
2018,Teller,1.9956,"Arkansas, South Platte"
2018,Washington,0.3149,South Platte
2018,Weld,3.4378,South Platte
2018,Yuma,0.5743,South Platte
2019,Adams,4.3126,Metro
2019,Arapahoe,3.0212,Metro
2019,Boulder,2.2145,South Platte
2019,Broomfield,6.8465,Metro
2019,Cheyenne,-0.1699,"South Platte, Arkansas"
2019,Clear Creek,1.2826,South Platte
2019,Denver,2.8704,Metro
2019,Douglas,3.4607,Metro
2019,Elbert,9.7898,"Metro, Arkansas"
2019,Gilpin,1.0212,South Platte
2019,Jefferson,2.3976,Metro
2019,Kit Carson,0.1567,South Platte
2019,Larimer,3.5169,South Platte
2019,Lincoln,2.3339,"Arkansas, South Platte"
2019,Logan,2.3180,South Platte
2019,Morgan,1.9911,South Platte
2019,Park,3.5966,South Platte
2019,Phillips,0.1333,South Platte
2019,Sedgwick,-0.8167,South Platte
2019,Teller,3.9850,"Arkansas, South Platte"
2019,Washington,0.6222,South Platte
2019,Weld,6.8973,South Platte
2019,Yuma,1.1285,South Platte
2020,Adams,6.5038,Metro
2020,Arapahoe,4.5840,Metro
2020,Boulder,3.3288,South Platte
2020,Broomfield,10.3203,Metro
2020,Cheyenne,-0.2235,"South Platte, Arkansas"
2020,Clear Creek,1.8889,South Platte
2020,Denver,4.3077,Metro
2020,Douglas,5.1643,Metro
2020,Elbert,14.3550,"Metro, Arkansas"
2020,Gilpin,1.4514,South Platte
2020,Jefferson,3.5984,Metro
2020,Kit Carson,0.3526,South Platte
2020,Larimer,5.2694,South Platte
2020,Lincoln,3.8339,"Arkansas, South Platte"
2020,Logan,3.4511,South Platte
2020,Morgan,2.9911,South Platte
2020,Park,5.3535,South Platte
2020,Phillips,0.2288,South Platte
2020,Sedgwick,-1.2734,South Platte
2020,Teller,5.9698,"Arkansas, South Platte"
2020,Washington,0.9102,South Platte
2020,Weld,10.3784,South Platte
2020,Yuma,1.6581,South Platte
2021,Adams,8.7170,Metro
2021,Arapahoe,6.1538,Metro
2021,Boulder,4.4506,South Platte
2021,Broomfield,13.8242,Metro
2021,Cheyenne,-0.2648,"South Platte, Arkansas"
2021,Clear Creek,2.4736,South Platte
2021,Denver,5.7526,Metro
2021,Douglas,6.9486,Metro
2021,Elbert,18.5710,"Metro, Arkansas"
2021,Gilpin,1.8367,South Platte
2021,Jefferson,4.6188,Metro
2021,Kit Carson,0.7411,South Platte
2021,Larimer,7.0254,South Platte
2021,Lincoln,5.2629,"Arkansas, South Platte"
2021,Logan,4.5677,South Platte
2021,Morgan,3.9934,South Platte
2021,Park,7.0814,South Platte
2021,Phillips,0.3626,South Platte
2021,Sedgwick,-1.6317,South Platte
2021,Teller,7.5355,"Arkansas, South Platte"
2021,Washington,1.2842,South Platte
2021,Weld,14.0472,South Platte
2021,Yuma,2.1545,South Platte
2022,Adams,10.9509,Metro
2022,Arapahoe,7.7291,Metro
2022,Boulder,5.5809,South Platte
2022,Broomfield,17.3575,Metro
2022,Cheyenne,-0.3003,"South Platte, Arkansas"
2022,Clear Creek,3.0335,South Platte
2022,Denver,7.3523,Metro
2022,Douglas,8.8123,Metro
2022,Elbert,23.2029,"Metro, Arkansas"
2022,Gilpin,2.1804,South Platte
2022,Jefferson,5.6313,Metro
2022,Kit Carson,1.1857,South Platte
2022,Larimer,8.9069,South Platte
2022,Lincoln,6.9078,"Arkansas, South Platte"
2022,Logan,5.6646,South Platte
2022,Morgan,5.0016,South Platte
2022,Park,8.7797,South Platte
2022,Phillips,0.5377,South Platte
2022,Sedgwick,-1.8837,South Platte
2022,Teller,9.0924,"Arkansas, South Platte"
2022,Washington,1.6392,South Platte
2022,Weld,17.9090,South Platte
2022,Yuma,2.6161,South Platte
2023,Adams,13.2042,Metro
2023,Arapahoe,9.3102,Metro
2023,Boulder,6.8767,South Platte
2023,Broomfield,20.9142,Metro
2023,Cheyenne,-0.3223,"South Platte, Arkansas"
2023,Clear Creek,3.5653,South Platte
2023,Denver,9.1135,Metro
2023,Douglas,10.7003,Metro
2023,Elbert,27.8610,"Metro, Arkansas"
2023,Gilpin,2.4964,South Platte
2023,Jefferson,6.6360,Metro
2023,Kit Carson,1.6810,South Platte
2023,Larimer,10.7971,South Platte
2023,Lincoln,8.2893,"Arkansas, South Platte"
2023,Logan,6.7437,South Platte
2023,Morgan,6.0158,South Platte
2023,Park,10.4470,South Platte
2023,Phillips,0.7076,South Platte
